ID,Tipo,SKU padre,sku ,Nombre,Publicado (0/1),¿Está destacado? (0/1),Visibilidad en el catálogo,Descripción corta (Instrucciones de cuidado),Descripción,Estado del impuesto,Clase de impuesto,¿En inventario? (0/1),Inventario (cantidad),Inventario (cantidad),Inventario (cantidad),Peso (kg),Medidas (cm), (cm), (cm),Precio rebajado,Precio normal,Categorías (Colecciones),Etiquetas,Clase de envío,Imágenes https://drive.google.com/drive/folders/14B2NVN6TtdWEzAId9Mxd6McPUAhUqZ-o,Swatches Attributes,Nombre del atributo 1,Valor(es) del atributo talla,Nombre del atributo 2,Valor(es) del atributo color,Atributo visible talla,Atributo global talla,Atributo por defecto talla
611852,variable,,,BLUSA ANUDADA EN SEDA - XL,1,1,visible,,,taxable,parent,1,1,0,0,0.30,Talla XL: Busto 102 / Cintura 92,,,-,465000,Tékapo,,,blusa anudada en seda.tif                                                                                                    blusa anudada en seda2.jpeg                                          blusa anudada en seda3.jpeg,,Talla,XL,Color,Rosa Oscuro - Azul Grisáceo - Gris,,1,XL Rosa Oscuro                           XL Azul Grisáceo                         XL Gris
620240,variable,,,PANTALÓN RECTO EN JACQUARD,1,1,visible,"Permite lavado en seco / Dry Clean - Lavar a mano máximo 30°C / Hand wash up to 30°C - No usar blanqueador ó detergente fuertes / Do not bleach - Secar a la sombra / Dry in shade - No usar secadora / Do not tumble dry - Planchar máximo 100°C, interponiendo paño ligeramente húmedo/ Iron up to 100°C by interposing a slightly damp cloth - Se recomineda lavar con prendas de colores similares/Wash with similar colours - Lavar las prendas por el revés / Back side wash - No dejar en remojo / Do not soak.","Pantalón en Jacquard, de corte recto y talle alto. Aberturas leves en ruedo. Cierre mediante cremallera semi-invisible en costado.",taxable,parent,1,(uva),(rosa),,0.25,,,,-,349000,Tékapo,,Envío Growbeats,pantalón recto en jacquard.tif                                                         pantalón recto en jacqurard2.tif,,Talla,"6, 8, 10, 12, 14, 16",Color,Uva - Rosa,1,1,
620240,variable,,,PANTALÓN RECTO EN JACQUARD - 6,1,1,visible,,,taxable,parent,1,0,0,-,0.25,Talla 6: Cintura 66 / Cadera 91 / Largo 93 ,,,-,349000,Tékapo,,,pantalón recto en jacquard.tif                                                         pantalón recto en jacqurard2.tif,,Talla,6,Color,Uva - Rosa,,1,6 Uva                                              6 Rosa
620240,variable,,,PANTALÓN RECTO EN JACQUARD - 8,1,1,visible,,,taxable,parent,1,0,1,-,0.25,Talla 8: Cintura 70 / Cadera 95 / Largo 93  ,,,-,349000,Tékapo,,,pantalón recto en jacquard.tif                                                         pantalón recto en jacqurard2.tif,,Talla,8,Color,Uva - Rosa,,1,8 Uva                                             8 Rosa
620240,variable,,,PANTALÓN RECTO EN JACQUARD - 10,1,1,visible,,,taxable,parent,1,1,2,-,0.25,Talla 10: Cintura 74 / Cadera 99 / Largo 94 ,,,-,349000,Tékapo,,,pantalón recto en jacquard.tif                                                         pantalón recto en jacqurard2.tif,,Talla,10,Color,Uva - Rosa,,1,10Uva                                             10Rosa
620240,variable,,,PANTALÓN RECTO EN JACQUARD - 12,1,1,visible,,,taxable,parent,1,2,1,-,0.25,Talla 12: Cintura 78 / Cadera 103 / Largo 95,,,-,349000,Tékapo,,,pantalón recto en jacquard.tif                                                         pantalón recto en jacqurard2.tif,,Talla,12,Color,Uva - Rosa,,1,12Uva                                             12Rosa
620240,variable,,,PANTALÓN RECTO EN JACQUARD - 14,1,1,visible,,,taxable,parent,1,0,0,-,0.25,Talla 14: Cintura 82 / Cadera 107 / Largo 96,,,-,349000,Tékapo,,,pantalón recto en jacquard.tif                                                         pantalón recto en jacqurard2.tif,,Talla,14,Color,Uva - Rosa,,1,14Uva                                             14Rosa
620240,variable,,,PANTALÓN RECTO EN JACQUARD - 16,1,1,visible,,,taxable,parent,1,0,0,-,0.25,Talla 16: Cintura 87 / Cadera 112 / Largo 97,,,-,349000,Tékapo,,,pantalón recto en jacquard.tif                                                         pantalón recto en jacqurard2.tif,,Talla,16,Color,Uva - Rosa,,1,16Uva                                            16Rosa
610255,variable,,,BLUSA ELEGANCE,1,1,visible,"Permite lavado en seco / Dry Clean - Lavar a mano máximo 30°C / Hand wash up to 30°C - No usar blanqueador ó detergente fuertes / Do not bleach - Secar a la sombra / Dry in shade - No usar secadora / Do not tumble dry - Planchar máximo 100°C, interponiendo paño ligeramente húmedo/ Iron up to 100°C by interposing a slightly damp cloth - Se recomineda lavar con prendas de colores similares/Wash with similar colours - Lavar las prendas por el revés / Back side wash - No dejar en remojo / Do not soak.","Blusa de corte recto, cuello Kent puntiagudo, cierre con botones en la parte delantera. Manga larga con puños de globo. Todos los botones en cristal Swarovski.",taxable,parent,1,(blanco),(rosa),,0.25,,,,-,479000,Tékapo,,Envío Growbeats,blusa elegance.jpg                                                                           blusa elegance2.jpg,,Talla,"S, M, L, XL, XXL",Color,Blanco - Rosa,1,1,
610255,variable,,,BLUSA ELEGANCE - S,1,1,visible,,,taxable,parent,1,1,4,-,0.25,Talla S: Busto 90 / Cintura 84 ,,,-,479000,Tékapo,,,blusa elegance.jpg                                                                           blusa elegance2.jpg,,Talla,S,Color,Blanco - Rosa,,1,S Blanco                                                S Rosa
